trees, Sen, Sen-sd, Spe, Spe-sd, Acc, Acc-sd, Bac, Bac-sd, Pre, Pre-sd, MCC, MCC-sd, AUC, AUC-sd
100, 0.708, 0.048, 0.710, 0.048, 0.709, 0.014, 0.709, 0.013, 0.668, 0.025, 0.418, 0.026, 0.798, 0.011 
200, 0.728, 0.055, 0.686, 0.044, 0.705, 0.013, 0.707, 0.014, 0.655, 0.020, 0.413, 0.029, 0.798, 0.008 
300, 0.716, 0.051, 0.703, 0.046, 0.709, 0.013, 0.709, 0.013, 0.664, 0.022, 0.419, 0.025, 0.799, 0.007 
400, 0.718, 0.046, 0.694, 0.038, 0.705, 0.012, 0.706, 0.013, 0.658, 0.018, 0.412, 0.026, 0.799, 0.005 
500, 0.717, 0.050, 0.694, 0.044, 0.705, 0.010, 0.706, 0.011, 0.658, 0.020, 0.411, 0.022, 0.798, 0.004 
600, 0.715, 0.043, 0.698, 0.038, 0.706, 0.010, 0.707, 0.010, 0.660, 0.018, 0.413, 0.020, 0.799, 0.004 
700, 0.708, 0.049, 0.705, 0.046, 0.706, 0.010, 0.707, 0.010, 0.664, 0.022, 0.413, 0.020, 0.800, 0.005 
800, 0.723, 0.042, 0.689, 0.040, 0.705, 0.009, 0.706, 0.009, 0.656, 0.019, 0.412, 0.018, 0.799, 0.003 
900, 0.718, 0.048, 0.697, 0.040, 0.706, 0.008, 0.708, 0.009, 0.660, 0.016, 0.415, 0.017, 0.800, 0.003 
1000, 0.722, 0.047, 0.691, 0.043, 0.705, 0.010, 0.706, 0.009, 0.658, 0.021, 0.412, 0.019, 0.800, 0.004 
1100, 0.711, 0.052, 0.701, 0.046, 0.705, 0.008, 0.706, 0.009, 0.661, 0.020, 0.412, 0.017, 0.799, 0.003 
1200, 0.708, 0.050, 0.703, 0.045, 0.705, 0.008, 0.705, 0.008, 0.662, 0.020, 0.411, 0.015, 0.800, 0.003 
1300, 0.722, 0.042, 0.687, 0.035, 0.703, 0.008, 0.705, 0.009, 0.654, 0.015, 0.408, 0.018, 0.799, 0.003 
1400, 0.718, 0.043, 0.694, 0.036, 0.705, 0.007, 0.706, 0.008, 0.658, 0.015, 0.411, 0.015, 0.800, 0.003 
1500, 0.712, 0.041, 0.698, 0.038, 0.704, 0.008, 0.705, 0.008, 0.659, 0.017, 0.408, 0.016, 0.800, 0.003 
1600, 0.723, 0.035, 0.686, 0.032, 0.702, 0.008, 0.704, 0.008, 0.653, 0.015, 0.407, 0.017, 0.801, 0.003 
1700, 0.717, 0.041, 0.694, 0.034, 0.704, 0.008, 0.705, 0.009, 0.657, 0.015, 0.410, 0.017, 0.800, 0.003 
1800, 0.724, 0.038, 0.686, 0.032, 0.703, 0.008, 0.705, 0.009, 0.654, 0.014, 0.409, 0.017, 0.800, 0.003 
1900, 0.717, 0.047, 0.692, 0.042, 0.703, 0.008, 0.704, 0.008, 0.656, 0.019, 0.408, 0.016, 0.800, 0.003 
2000, 0.724, 0.042, 0.684, 0.038, 0.702, 0.008, 0.704, 0.008, 0.653, 0.017, 0.407, 0.016, 0.800, 0.002 